[ 0.001 ]
0.0009925325547619206, 
0.0009906413360734638, 
0.0010142918918317446, 
0.0010576297540812784, 

0.0011157679922343738,  start
0.0011851957779786557, 
0.0012636193365270349, 
0.001349617483460127, 

0.0014423739940389705, 1day
0.0015415019544710287, 
0.001647043536303574, 
0.0017595717191759427, 

0.0018800187714327374, 2day
0.002009496913570371,  error time
0.002149267783664037, 
0.002300632290559176, 

0.0024650044776537657, 3day
0.0026438819046304116, 
0.0028386527435887016,
0.0030507158626147577, 
0.003281741819805748, 

0.0035337390193837955, 4day
0.0038089047764819587, 
0.004109301157890861, 
0.004436998339985223, 

[0.01]
0.00996813722779026, 
0.009943960299204352, 
0.010167188811047672,
0.010584302786610884,

0.011150907889634751, start
0.011834491317080666, 
0.012612548950890926, 
0.013471015851800548, 

0.014403022842676194,1day 
0.015406492108262941, 
0.016482541363254354, 
0.017634764867234247, 

0.018868631928659993, 2day
0.020191306367355496, error time
0.021612400461920145, 
0.02314468893225231, 

0.02480500078507537,  3day
0.026613801708234058, 
0.02859268011804546, 
0.030762528281077176, 

0.033144763085696555, 4day
0.035760890351074215, 
0.038631919165632675, 
0.041780944734235145, 

[0.1]
0.10008370170609418, 
0.0997215762024909, 
0.10185702235539566, 
0.1059669274484615, 

0.11162474996795063, 
0.11850272798835139, 
0.12635875411817538, 
0.1350307677222953, 

0.14442168936633235, 
0.15447999973046123, 
0.16519739500376182, 
0.17662360692923995, 

0.1888642223527743, 
0.2020399169687624, 
0.21624527615918157, 
0.23155899121739107,
 
0.24806304568049917, 
0.26583942998644017, 
0.28496495737399685,
0.3054983336290472, 

0.3274622398335156, 
0.3508336120213171, 
0.37555261732760165, 
0.40155421904709254, 

[1.0]
